trial_id,episodes,learning_rate,discount_factor,epsilon,min_epsilon,epsilon_decay,state_precision,seed,mean_cagr,mean_sharpe,mean_maximum_drawdown,mean_average_turnover,score
9,25,0.05,0.95,0.2,0.02,0.95,2,42,0.42715158548728593,3.40925052399555,-0.029222645089636512,0.42954545454545456,3.8071794643931995
11,25,0.05,0.95,0.3,0.02,0.95,2,42,0.42715158548728593,3.40925052399555,-0.029222645089636512,0.42954545454545456,3.8071794643931995
13,25,0.1,0.95,0.2,0.02,0.95,2,42,0.42715158548728593,3.40925052399555,-0.029222645089636512,0.42954545454545456,3.8071794643931995
15,25,0.1,0.95,0.3,0.02,0.95,2,42,0.42715158548728593,3.40925052399555,-0.029222645089636512,0.42954545454545456,3.8071794643931995
0,15,0.05,0.95,0.2,0.02,0.9,2,42,0.37526961568113637,2.2076494287752544,-0.03507264271637661,0.4954545454545455,2.5478464017400144
1,15,0.05,0.95,0.2,0.02,0.95,2,42,0.37526961568113637,2.2076494287752544,-0.03507264271637661,0.4954545454545455,2.5478464017400144
2,15,0.05,0.95,0.3,0.02,0.9,2,42,0.37526961568113637,2.2076494287752544,-0.03507264271637661,0.4954545454545455,2.5478464017400144
3,15,0.05,0.95,0.3,0.02,0.95,2,42,0.37526961568113637,2.2076494287752544,-0.03507264271637661,0.4954545454545455,2.5478464017400144
4,15,0.1,0.95,0.2,0.02,0.9,2,42,0.37526961568113637,2.2076494287752544,-0.03507264271637661,0.4954545454545455,2.5478464017400144
5,15,0.1,0.95,0.2,0.02,0.95,2,42,0.37526961568113637,2.2076494287752544,-0.03507264271637661,0.4954545454545455,2.5478464017400144
6,15,0.1,0.95,0.3,0.02,0.9,2,42,0.37526961568113637,2.2076494287752544,-0.03507264271637661,0.4954545454545455,2.5478464017400144
7,15,0.1,0.95,0.3,0.02,0.95,2,42,0.37526961568113637,2.2076494287752544,-0.03507264271637661,0.4954545454545455,2.5478464017400144
8,25,0.05,0.95,0.2,0.02,0.9,2,42,0.32695396369506124,1.7657334261010047,-0.06314374457125188,0.4727272727272728,2.029543645224814
10,25,0.05,0.95,0.3,0.02,0.9,2,42,0.32695396369506124,1.7657334261010047,-0.06314374457125188,0.4727272727272728,2.029543645224814
12,25,0.1,0.95,0.2,0.02,0.9,2,42,0.32695396369506124,1.7657334261010047,-0.06314374457125188,0.4727272727272728,2.029543645224814
14,25,0.1,0.95,0.3,0.02,0.9,2,42,0.32695396369506124,1.7657334261010047,-0.06314374457125188,0.4727272727272728,2.029543645224814
