regime,months,mean_reward,mean_turnover,worst_drawdown,mean_arg_weight,mean_ced_weight,mean_sp500_weight,mean_gold_weight
bear,10,-0.047849209718323585,0.61,-0.200642646883516,0.22999999999999998,0.26,0.36,0.15
bull,33,0.0513896629104921,0.5166666666666667,-0.220206601325433,0.24848484848484848,0.23333333333333334,0.2878787878787879,0.23030303030303031
sideways,36,0.01786421630681238,0.5861111111111111,-0.1776853638377356,0.23333333333333334,0.25555555555555554,0.19166666666666668,0.3194444444444444
stress,10,-0.04430368495483593,0.43999999999999995,-0.2894343953985068,0.22999999999999998,0.29,0.25,0.22999999999999998
