asset,mean_weight,min_weight,max_weight,weight_std,months_above_50pct
arg,0.23820224719101124,0.0,0.9,0.22660445069239446,9
ced,0.2516853932584269,0.0,0.8,0.23034529993549563,15
sp500,0.25280898876404495,0.0,0.9,0.25177566599379264,14
gold,0.2573033707865168,0.0,0.9,0.24989329878000863,11
