,kind,cagr,volatility,sharpe,sortino,maximum_drawdown,average_turnover
q_learning,model,0.183790645478282,0.2069594767716644,0.9234452078178766,1.4240936716954455,-0.2894343953985068,0.5466292134831461
random_agent,baseline,0.202589219858257,0.2445845133899408,0.8779188956228164,1.6480197712858942,-0.3702295804428969,0.5
equal_weight,baseline,0.2359477907611371,0.1920792641522282,1.20844947738834,1.7273507985536118,-0.2191255476993099,0.0
momentum,baseline,0.1870770495332192,0.2094655141619391,0.9307223399123652,1.2378700523641728,-0.4564617491115316,0.1540000459348249
volatility_weighted,baseline,0.2196909173343153,0.1493705337464236,1.4149651877651936,2.1367163628749433,-0.2059223900661201,0.0272560220009239
sp500,baseline,0.1610567596852758,0.1672265472290835,0.9824277171635566,1.503051966648941,-0.2479787790514068,0.0
sp500_gold_50_50,baseline,0.1774070087913699,0.1227516508981364,1.4007138328166528,2.3907150192572155,-0.1740174123818133,0.0
