baseline,model_minus_cagr,model_minus_volatility,model_minus_sharpe,model_minus_sortino,model_minus_maximum_drawdown,model_minus_average_turnover
random_agent,-0.018798574379975008,-0.0376250366182764,0.0455263121950602,-0.22392609959044862,0.0807951850443901,0.04662921348314608
equal_weight,-0.05215714528285509,0.0148802126194362,-0.28500426957046343,-0.3032571268581663,-0.0703088476991969,0.5466292134831461
momentum,-0.0032864040549371865,-0.00250603739027469,-0.007277132094488548,0.18622361933127274,0.1670273537130248,0.3926291675483212
volatility_weighted,-0.03590027185603331,0.05758894302524081,-0.491519979947317,-0.7126226911794977,-0.0835120053323867,0.5193731914822222
sp500,0.022733885793006198,0.0397329295425809,-0.058982509345679945,-0.07895829495349549,-0.04145561634709999,0.5466292134831461
sp500_gold_50_50,0.006383636686912109,0.084207825873528,-0.4772686249987762,-0.96662134756177,-0.11541698301669348,0.5466292134831461
