date,portfolio_value
2019-01-31,1.1523735252580627
2019-02-28,1.1879643092870853
2019-03-31,1.2021265065083488
2019-04-30,1.2431875092956486
2019-05-31,1.2537300842440422
2019-06-30,1.3403070124644476
2019-07-31,1.3683441941387862
2019-08-31,1.4462529015747163
2019-09-30,1.452519261354885
2019-10-31,1.4634061671280576
2019-11-30,1.524036385608638
2019-12-31,1.5654191647423057
2020-01-31,1.6079616912297
2020-02-29,1.4957324977323083
2020-03-31,1.266978310289777
2020-04-30,1.3864121196596615
2020-05-31,1.5557485810756857
2020-06-30,1.6067711629884156
2020-07-31,1.6995484522944015
2020-08-31,1.7094937511900985
2020-09-30,1.6182104707455085
2020-10-31,1.5804066765552662
2020-11-30,1.9477680916968667
2020-12-31,2.005208804033072
2021-01-31,1.981536958666589
2021-02-28,2.072594533520456
2021-03-31,2.140174185675834
2021-04-30,2.1648053972754715
2021-05-31,2.3165559649854295
2021-06-30,2.3032326698165564
2021-07-31,2.3810926039148717
2021-08-31,2.553076185696538
2021-09-30,2.30591780064921
2021-10-31,2.413966603305357
2021-11-30,2.3334215037912207
2021-12-31,2.4526004593782704
2022-01-31,2.341753758007642
2022-02-28,2.2142587409407852
2022-03-31,2.2635082212561923
2022-04-30,2.1184968406797693
2022-05-31,2.0994319147355904
2022-06-30,1.8141281234831348
2022-07-31,1.9908719559194032
2022-08-31,2.0408202221031133
2022-09-30,1.922872371982054
2022-10-31,2.0227201847490117
2022-11-30,2.1968031731470936
2022-12-31,2.0465556495275283
2023-01-31,2.180856144710124
2023-02-28,2.181617355350643
2023-03-31,2.3348714424273846
2023-04-30,2.3621981386731776
2023-05-31,2.477197305306845
2023-06-30,2.5825327707912615
2023-07-31,2.654449233579004
2023-08-31,2.6169441061013328
2023-09-30,2.3397761078786266
2023-10-31,2.2859522400394225
2023-11-30,2.505373299096569
2023-12-31,2.5839062357167015
2024-01-31,2.6547608174147324
2024-02-29,2.7681167564157376
2024-03-31,2.8931428974073494
2024-04-30,2.870094636680286
2024-05-31,2.958890218293477
2024-06-30,2.8576076658516265
2024-07-31,2.8296937350673774
2024-08-31,2.90007017483785
2024-09-30,2.940144450728361
2024-10-31,3.0320112325340447
2024-11-30,2.9882964951094753
2024-12-31,2.933121985637975
2025-01-31,3.083319405092131
2025-02-28,2.808154389416377
2025-03-31,2.5671867750803754
2025-04-30,2.5679400723663006
2025-05-31,2.7317842700935127
2025-06-30,2.745582039570354
2025-07-31,2.796313557830872
2025-08-31,2.6636292044781005
2025-09-30,2.7802520284712067
2025-10-31,3.1060277801171376
2025-11-30,3.1666937371383037
2025-12-31,3.145133376021048
2026-01-31,3.3492013396505835
2026-02-28,3.507444256812539
2026-03-31,3.3370649431279165
2026-04-30,3.2479251045818662
2026-05-31,3.495067248040449
