date,split_0,split_1
2024-01-31,1.0074615573086754,
2024-02-29,1.055759439735209,
2024-03-31,1.1272311417857328,
2024-04-30,1.1955314893617612,
2024-05-31,1.252453486675488,
2024-06-30,1.2741226328500896,
2024-07-31,1.2816896975289949,
2024-08-31,1.33908781556342,
2024-09-30,1.394273741146978,
2024-10-31,1.4940454689795373,
2024-11-30,1.6612831829812693,
2025-01-31,,1.0202491914573895
2025-02-28,,1.0114961504996385
2025-03-31,,0.9929766513263772
2025-04-30,,1.003251491921489
2025-05-31,,1.0323215579003087
2025-06-30,,1.0690557350651952
2025-07-31,,1.0956824779155228
2025-08-31,,1.031644997549405
2025-09-30,,1.0542671349831791
2025-10-31,,1.085075656383177
2025-11-30,,1.1045357919584282
