date,action_id,weights,portfolio_return,turnover,rebalance_cost,reward,portfolio_value,drawdown
2019-01-31,12,"[0.7, 0.2, 0.0, 0.1]",0.15867352525806278,0.44999999999999996,0.006299999999999999,0.15237352525806278,1.1523735252580627,0.0
2019-02-28,235,"[0.0, 0.5, 0.5, 0.0]",0.04208476370632712,0.7999999999999999,0.0112,0.030884763706327117,1.1879643092870853,0.0
2019-03-31,252,"[0.0, 0.3, 0.3, 0.4]",0.017521399582923883,0.4,0.005600000000000001,0.011921399582923882,1.2021265065083488,0.0
2019-04-30,265,"[0.0, 0.1, 0.9, 0.0]",0.042556973134686066,0.6000000000000001,0.008400000000000001,0.03415697313468606,1.2431875092956486,0.0
2019-05-31,32,"[0.6, 0.0, 0.2, 0.2]",0.01968027740752215,0.7999999999999999,0.0112,0.008480277407522151,1.2537300842440422,0.0
2019-06-30,274,"[0.0, 0.1, 0.0, 0.9]",0.08025547638079392,0.7999999999999999,0.0112,0.06905547638079391,1.3403070124644476,0.0
2019-07-31,166,"[0.1, 0.8, 0.1, 0.0]",0.033518477194852576,0.9,0.0126,0.020918477194852576,1.3683441941387862,0.0
2019-08-31,284,"[0.0, 0.0, 0.1, 0.9]",0.06953648408759079,0.9,0.0126,0.05693648408759079,1.4462529015747163,0.0
2019-09-30,188,"[0.1, 0.3, 0.4, 0.2]",0.014132824344446088,0.7,0.0098,0.004332824344446089,1.452519261354885,0.0
2019-10-31,155,"[0.2, 0.1, 0.0, 0.7]",0.015895188575342903,0.6,0.0084,0.007495188575342903,1.4634061671280576,0.0
2019-11-30,124,"[0.2, 0.6, 0.1, 0.1]",0.049830889005727914,0.6,0.0084,0.04143088900572792,1.524036385608638,0.0
2019-12-31,252,"[0.0, 0.3, 0.3, 0.4]",0.0341534062601404,0.5,0.007,0.0271534062601404,1.5654191647423055,0.0
2020-01-31,282,"[0.0, 0.0, 0.3, 0.7]",0.031376444140695986,0.29999999999999993,0.004199999999999999,0.027176444140695987,1.6079616912297,0.0
2020-02-29,257,"[0.0, 0.2, 0.7, 0.1]",-0.06139593737184339,0.6,0.0084,-0.06979593737184339,1.4957324977323083,-0.06979593737184342
2020-03-31,132,"[0.2, 0.4, 0.2, 0.2]",-0.14593790018559294,0.5,0.007,-0.15293790018559295,1.266978310289777,-0.21205939345430147
2020-04-30,142,"[0.2, 0.2, 0.5, 0.1]",0.098466656658525,0.3,0.0042,0.094266656658525,1.3864121196596615,-0.13778286682974816
2020-05-31,90,"[0.3, 0.4, 0.3, 0.0]",0.1263400613964579,0.3,0.0042,0.1221400613964579,1.5557485810756857,-0.03247161324725578
2020-06-30,21,"[0.6, 0.3, 0.1, 0.0]",0.036996161624940294,0.3,0.0042,0.03279616162494029,1.6067711629884156,-0.000740395898594981
2020-07-31,201,"[0.1, 0.1, 0.8, 0.0]",0.067541445355187,0.7000000000000001,0.009800000000000001,0.05774144535518699,1.6995484522944015,0.0
2020-08-31,43,"[0.5, 0.2, 0.1, 0.2]",0.01565173013589035,0.7000000000000001,0.009800000000000001,0.005851730135890349,1.7094937511900983,0.0
2020-09-30,265,"[0.0, 0.1, 0.9, 0.0]",-0.04219784388275258,0.8,0.011200000000000002,-0.05339784388275258,1.6182104707455083,-0.053397843882752594
2020-10-31,53,"[0.5, 0.0, 0.2, 0.3]",-0.012161481632748217,0.7999999999999999,0.0112,-0.02336148163274822,1.5804066765552662,-0.07551187276640559
2020-11-30,25,"[0.6, 0.2, 0.0, 0.2]",0.23664739508587745,0.3,0.0042,0.23244739508587745,1.9477680916968667,0.0
2020-12-31,224,"[0.0, 0.8, 0.1, 0.1]",0.03929052948401273,0.7000000000000001,0.009800000000000001,0.029490529484012727,2.0052088040330722,0.0
2021-01-31,234,"[0.0, 0.6, 0.0, 0.4]",-0.007605177255791112,0.30000000000000004,0.004200000000000001,-0.011805177255791112,1.981536958666589,-0.01180517725579111
2021-02-28,56,"[0.4, 0.6, 0.0, 0.0]",0.05155300352870586,0.4,0.005600000000000001,0.045953003528705856,2.072594533520456,0.0
2021-03-31,54,"[0.5, 0.0, 0.1, 0.4]",0.041006306280558034,0.6,0.0084,0.03260630628055804,2.140174185675834,0.0
2021-04-30,52,"[0.5, 0.0, 0.3, 0.2]",0.014308975187390893,0.2,0.0028000000000000004,0.011508975187390892,2.1648053972754715,0.0
2021-05-31,21,"[0.6, 0.3, 0.1, 0.0]",0.07569894187299438,0.39999999999999997,0.0056,0.07009894187299438,2.3165559649854295,0.0
2021-06-30,259,"[0.0, 0.2, 0.5, 0.3]",0.004048662510099603,0.7,0.0098,-0.005751337489900397,2.3032326698165564,-0.005751337489900421
2021-07-31,76,"[0.4, 0.1, 0.0, 0.5]",0.04220463255781977,0.6,0.0084,0.03380463255781977,2.3810926039148717,0.0
2021-08-31,90,"[0.3, 0.4, 0.3, 0.0]",0.0806288505280726,0.6000000000000001,0.008400000000000001,0.0722288505280726,2.553076185696538,0.0
2021-09-30,61,"[0.4, 0.4, 0.0, 0.2]",-0.09260807272106439,0.30000000000000004,0.004200000000000001,-0.09680807272106438,2.30591780064921,-0.09680807272106429
2021-10-31,105,"[0.3, 0.1, 0.6, 0.0]",0.05525717878830143,0.6000000000000001,0.008400000000000001,0.04685717878830142,2.413966603305357,-0.05448704710440466
2021-11-30,185,"[0.1, 0.4, 0.0, 0.5]",-0.02216628576544884,0.8,0.011200000000000002,-0.03336628576544884,2.3334215037912207,-0.08603530248565239
2021-12-31,80,"[0.4, 0.0, 0.3, 0.3]",0.059474765272118216,0.6000000000000001,0.008400000000000001,0.05107476527211821,2.4526004593782704,-0.03935477009310462
2022-01-31,149,"[0.2, 0.1, 0.6, 0.1]",-0.03959558044881357,0.4,0.005600000000000001,-0.04519558044881357,2.3417537580076426,-0.08277168886413067
2022-02-28,226,"[0.0, 0.7, 0.3, 0.0]",-0.04604424574141814,0.6,0.0084,-0.05444424574141814,2.2142587409407852,-0.1327094924365979
2022-03-31,259,"[0.0, 0.2, 0.5, 0.3]",0.029241971728417956,0.5,0.007,0.022241971728417957,2.2635082212561923,-0.11341924148704752
2022-04-30,255,"[0.0, 0.3, 0.0, 0.7]",-0.05706487911757846,0.5,0.007,-0.06406487911757847,2.1184968406797693,-0.1702179306091508
2022-05-31,50,"[0.5, 0.0, 0.5, 0.0]",0.0050007295842548925,1.0,0.014,-0.008999270415745109,2.0994319147355904,-0.1776853638377356
2022-06-30,78,"[0.4, 0.0, 0.5, 0.1]",-0.13449571028712673,0.09999999999999999,0.0014,-0.13589571028712674,1.8141281234831348,-0.2894343953985068
2022-07-31,186,"[0.1, 0.3, 0.6, 0.0]",0.10302632295282411,0.4,0.005600000000000001,0.09742632295282411,1.9908719559194032,-0.22020660132543302
2022-08-31,46,"[0.5, 0.1, 0.3, 0.1]",0.032088638189512915,0.5,0.007,0.025088638189512916,2.0408202221031133,-0.20064264688351607
2022-09-30,70,"[0.4, 0.2, 0.0, 0.4]",-0.0521943362397258,0.4,0.005600000000000001,-0.0577943362397258,1.922872371982054,-0.24684097452522746
2022-10-31,62,"[0.4, 0.3, 0.3, 0.0]",0.05752638587034101,0.4,0.005600000000000001,0.051926385870341006,2.0227201847490117,-0.2077321483466945
2022-11-30,103,"[0.3, 0.2, 0.1, 0.4]",0.0916638014643053,0.4,0.005600000000000001,0.08606380146430531,2.1968031731470936,-0.13954656525545284
2022-12-31,224,"[0.0, 0.8, 0.1, 0.1]",-0.059993712033984375,0.6000000000000001,0.008400000000000001,-0.06839371203398438,2.0465556495275283,-0.19839616969002405
2023-01-31,212,"[0.1, 0.0, 0.7, 0.2]",0.07682269401938835,0.8,0.011200000000000002,0.06562269401938835,2.180856144710124,-0.1457927668088228
2023-02-28,3,"[0.9, 0.0, 0.0, 0.1]",0.011549042114660107,0.8,0.011200000000000002,0.0003490421146601051,2.181617355350643,-0.1454946125097919
2023-03-31,125,"[0.2, 0.6, 0.0, 0.2]",0.08004792257948919,0.7,0.0098,0.07024792257948918,2.3348714424273846,-0.08546738420562339
2023-04-30,242,"[0.0, 0.4, 0.5, 0.1]",0.018703726273418916,0.5,0.007,0.011703726273418917,2.3621981386731776,-0.07476394480225212
2023-05-31,174,"[0.1, 0.6, 0.0, 0.3]",0.055683116268248775,0.5,0.007,0.048683116268248776,2.477197305306845,-0.029720570351484232
2023-06-30,146,"[0.2, 0.2, 0.1, 0.5]",0.04812203296796697,0.4,0.005600000000000001,0.04252203296796697,2.5825327707912615,0.0
2023-07-31,258,"[0.0, 0.2, 0.6, 0.2]",0.034847260488279644,0.5,0.007,0.027847260488279645,2.654449233579004,0.0
2023-08-31,87,"[0.3, 0.5, 0.2, 0.0]",-0.005729156061162572,0.6,0.0084,-0.014129156061162572,2.6169441061013328,-0.014129156061162718
2023-09-30,43,"[0.5, 0.2, 0.1, 0.2]",-0.10031284604684404,0.4,0.005600000000000001,-0.10591284604684403,2.3397761078786266,-0.11854554297732889
2023-10-31,136,"[0.2, 0.3, 0.4, 0.1]",-0.01740385394053954,0.4,0.005600000000000001,-0.02300385394053954,2.2859522400394225,-0.13882239256191597
2023-11-30,190,"[0.1, 0.3, 0.2, 0.4]",0.10018672063829395,0.30000000000000004,0.004200000000000001,0.09598672063829396,2.505373299096569,-0.056160778136802314
2023-12-31,212,"[0.1, 0.0, 0.7, 0.2]",0.03834580249915317,0.5,0.007,0.03134580249915317,2.5839062357167015,-0.026575380297324203
2024-01-31,184,"[0.1, 0.4, 0.1, 0.4]",0.035821498782976496,0.6,0.0084,0.0274214987829765,2.6547608174147324,0.0
2024-02-29,125,"[0.2, 0.6, 0.0, 0.2]",0.046899115587894696,0.3,0.0042,0.042699115587894694,2.7681167564157376,0.0
2024-03-31,77,"[0.4, 0.0, 0.6, 0.0]",0.0563664983790281,0.8,0.011200000000000002,0.0451664983790281,2.8931428974073494,0.0
2024-04-30,271,"[0.0, 0.1, 0.3, 0.6]",0.0018334869225722188,0.7,0.0098,-0.007966513077427781,2.8700946366802866,-0.007966513077427684
2024-05-31,215,"[0.1, 0.0, 0.4, 0.5]",0.033738206872473094,0.2,0.0028000000000000004,0.030938206872473093,2.958890218293477,0.0
2024-06-30,116,"[0.3, 0.0, 0.3, 0.4]",-0.03142991222035425,0.2,0.0028000000000000004,-0.03422991222035425,2.8576076658516265,-0.03422991222035421
2024-07-31,70,"[0.4, 0.2, 0.0, 0.4]",-0.005568286639842237,0.30000000000000004,0.004200000000000001,-0.009768286639842238,2.8296937350673774,-0.04366383126597129
2024-08-31,219,"[0.1, 0.0, 0.0, 0.9]",0.0318706914456227,0.5,0.007,0.0248706914456227,2.90007017483785,-0.019879089495098312
2024-09-30,211,"[0.1, 0.0, 0.8, 0.1]",0.02501838144408071,0.8,0.011200000000000002,0.013818381444080707,2.940144450728361,-0.006335404892421903
2024-10-31,209,"[0.1, 0.1, 0.0, 0.8]",0.04244566950543035,0.8,0.011200000000000002,0.031245669505430347,3.0320112325340447,0.0
2024-11-30,234,"[0.0, 0.6, 0.0, 0.4]",-0.0074177359752174,0.5,0.007,-0.0144177359752174,2.9882964951094753,-0.01441773597521745
2024-12-31,264,"[0.0, 0.2, 0.0, 0.8]",-0.012863532504822202,0.4,0.005600000000000001,-0.018463532504822203,2.933121985637975,-0.0326150661432153
