episode,episode_reward,steps,epsilon,q_table_states
0,1.6508621761591091,89,0.3,90
1,0.9548820057692803,89,0.285,177
2,1.1495668370052199,89,0.27075,261
3,1.0207835936600822,89,0.25721249999999996,348
4,1.5215166819016277,89,0.24435187499999994,435
5,0.9733996031201695,89,0.23213428124999994,516
6,0.3743059350489285,89,0.22052756718749994,599
7,1.5513742454665385,89,0.20950118882812493,687
8,1.6075370561560962,89,0.19902612938671868,765
9,1.0214969564935084,89,0.18907482291738273,849
10,1.5075909117073547,89,0.1796210817715136,933
11,0.8398216503264114,89,0.1706400276829379,1013
12,1.4559753733370853,89,0.162108026298791,1093
13,0.9234282922879493,89,0.15400262498385145,1174
14,1.1457658204230867,89,0.14630249373465887,1257
15,0.9692704370898068,89,0.1389873690479259,1332
16,1.0499848716443019,89,0.13203800059552961,1409
17,1.0665552387242956,89,0.12543610056575313,1493
18,0.9010553211830147,89,0.11916429553746546,1566
19,1.8131429453366366,89,0.11320608076059219,1639
20,1.038457591226402,89,0.10754577672256257,1717
21,1.3308305219434564,89,0.10216848788643444,1780
22,1.9421997661928674,89,0.09706006349211271,1842
23,1.5157876280060887,89,0.09220706031750707,1907
24,0.9395553586416838,89,0.08759670730163172,1971
25,1.429081072868734,89,0.08321687193655013,2049
26,1.126495105679221,89,0.07905602833972261,2127
27,1.5696515435529952,89,0.07510322692273648,2195
28,1.2139664351322796,89,0.07134806557659966,2251
29,0.9592499223186105,89,0.06778066229776968,2323
30,1.3803140745364164,89,0.06439162918288119,2376
31,1.325214159441724,89,0.061172047723737126,2440
32,1.446750484565554,89,0.058113445337550265,2502
33,1.8117559288325433,89,0.05520777307067275,2569
34,1.1946054803328165,89,0.05244738441713911,2631
35,2.1571747997702775,89,0.04982501519628215,2690
36,2.270390879718427,89,0.04733376443646804,2746
37,1.1900407934243182,89,0.04496707621464464,2804
38,1.3993518526536073,89,0.042718722403912404,2862
39,1.7687048404204968,89,0.04058278628371678,2926
