,cagr,volatility,sharpe,sortino,maximum_drawdown,average_turnover
random_agent,0.20258921985825706,0.24458451338994086,0.8779188956228164,1.6480197712858942,-0.3702295804428969,0.5
equal_weight,0.23594779076113714,0.19207926415222829,1.2084494773883399,1.7273507985536118,-0.21912554769930992,0.0
momentum,0.18707704953321924,0.20946551416193912,0.9307223399123651,1.2378700523641728,-0.4564617491115316,0.1540000459348249
volatility_weighted,0.21969091733431534,0.14937053374642362,1.4149651877651936,2.1367163628749433,-0.20592239006612012,0.027256022000923932
sp500,0.16105675968527589,0.16722654722908353,0.9824277171635566,1.503051966648941,-0.24797877905140686,0.0
sp500_gold_50_50,0.17740700879136995,0.12275165089813642,1.4007138328166528,2.3907150192572155,-0.17401741238181334,0.0
