date,random_agent,equal_weight,momentum,volatility_weighted,sp500,sp500_gold_50_50
2019-01-31,1.137609298248489,1.1042514705578388,1.1042514705578388,1.071226130273053,1.0800655996056354,1.0544657894935394
2019-02-28,1.0534686095495316,1.0950033155417782,1.0950033155417782,1.0763703076645,1.1150768034472944,1.0683444630650654
2019-03-31,1.0448071596455213,1.0945789009388234,1.0992502975374727,1.0788836894347302,1.1302817423813052,1.0670981226366645
2019-04-30,1.0544656789048525,1.092465574045421,1.146359935562717,1.088720574499376,1.1764564307291452,1.0853527183076412
2019-05-31,1.030939599276055,1.0780421785680856,1.079375955706928,1.0743678428629206,1.1014324224970187,1.0602827656964866
2019-06-30,1.133435699640281,1.1807785980941563,1.1617984684415015,1.1645196068990629,1.1723751686406974,1.1368556875377709
2019-07-31,1.1229108045587526,1.1920959283831976,1.181619673103529,1.1754415501984328,1.1901008116794214,1.1454927083606905
2019-08-31,1.1393089312375508,1.0647948521434434,1.2117139531045409,1.1466509369525713,1.170174513242977,1.1812204909871256
2019-09-30,1.1884021554732478,1.094744574684452,1.1830343844864921,1.147652078728677,1.1874599519365239,1.169894840175014
2019-10-31,1.2008698170633387,1.1107440926881686,1.218603845590015,1.1741012907451358,1.2137083418479195,1.197820301673811
2019-11-30,1.2856189012911405,1.152771469543509,1.2368961028791368,1.1940762249640577,1.2576424450280328,1.2002832327725415
2019-12-31,1.4490851629472643,1.23144446673605,1.280558383388167,1.2477165838599424,1.2878520634990804,1.2366395786766133
2020-01-31,1.3666549800875192,1.2169497002413345,1.319361521205806,1.2680895020380303,1.2873319996138906,1.2642121496864756
2020-02-29,1.2908832041012028,1.1388335180025921,1.2741297568715269,1.2085193274763748,1.1854193819469943,1.2101497037975033
2020-03-31,1.138708013447425,0.9616035235012284,1.1730562312538553,1.0875570365680685,1.0313300331642996,1.1301520110964558
2020-04-30,1.260650199164933,1.0428982676760796,1.2873055512159053,1.194635716468642,1.1622919858936795,1.2429378799557012
2020-05-31,1.4367518438503892,1.1467770009732488,1.389709530148628,1.2833921075210564,1.2176696925169601,1.2886325507687684
2020-06-30,1.4721278786148564,1.1838749577806789,1.445271018149879,1.3236991988566504,1.2338347775719494,1.3148255880346391
2020-07-31,1.5773808757506356,1.2937011299129935,1.5568454226130917,1.4396411485078788,1.3064980449981651,1.4244799709380567
2020-08-31,1.6243002913951852,1.3422281441943635,1.6497008148471342,1.5004752666612544,1.3976872603946693,1.471887375741496
2020-09-30,1.4817824930260086,1.2378960255753773,1.5691015585045271,1.4133891547849868,1.3399888648448726,1.4108074511504554
2020-10-31,1.4690240750320955,1.2281677210893704,1.570295812405797,1.4029715150649535,1.3065781487569545,1.3895551987879673
2020-11-30,1.670973882065209,1.395859302686143,1.6794523227727385,1.504644550283326,1.4487035859925155,1.427552986278184
2020-12-31,1.764281083114778,1.4671145491773065,1.7496243674498873,1.5827522692604015,1.4959987500883014,1.5009186143118665
2021-01-31,1.6380919325060512,1.409314122609636,1.742148670002373,1.5418953011262544,1.4807538813842844,1.469077677562556
2021-02-28,1.5988425493329304,1.4384243495230227,1.75606815697962,1.538242084226745,1.5219269691833157,1.4435426660725579
2021-03-31,1.6225568234124907,1.4901926663720124,1.8063267797440297,1.5743959422028568,1.585827422679268,1.4655952617116954
